2020-05-02 05:20:20 status unpacked logsave:amd64 1.45.5-2ubuntu1
2020-05-02 05:20:20 install lsb-base:all <none> 11.1.0ubuntu2
2020-05-02 05:20:20 status half-installed lsb-base:all 11.1.0ubuntu2
2020-05-02 05:20:20 status unpacked lsb-base:all 11.1.0ubuntu2
2020-05-02 05:20:20 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2020-05-02 05:20:20 status half-configured mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:20 status unpacked mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:20 status half-installed mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:20 status unpacked mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:20 install mount:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:20 status half-installed mount:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:20 status unpacked mount:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:20 install ncurses-base:all <none> 6.2-0ubuntu2
2020-05-02 05:20:20 status half-installed ncurses-base:all 6.2-0ubuntu2
2020-05-02 05:20:20 status unpacked ncurses-base:all 6.2-0ubuntu2
2020-05-02 05:20:20 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2020-05-02 05:20:20 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2020-05-02 05:20:20 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2020-05-02 05:20:20 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2020-05-02 05:20:20 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2020-05-02 05:20:21 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2020-05-02 05:20:21 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2020-05-02 05:20:21 status half-configured perl-base:amd64 5.30.0-9build1
2020-05-02 05:20:21 status unpacked perl-base:amd64 5.30.0-9build1
2020-05-02 05:20:21 status half-installed perl-base:amd64 5.30.0-9build1
2020-05-02 05:20:21 status unpacked perl-base:amd64 5.30.0-9build1
2020-05-02 05:20:21 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2020-05-02 05:20:21 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2020-05-02 05:20:21 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2020-05-02 05:20:21 install sed:amd64 <none> 4.7-1
2020-05-02 05:20:21 status half-installed sed:amd64 4.7-1
2020-05-02 05:20:21 status unpacked sed:amd64 4.7-1
2020-05-02 05:20:21 install sensible-utils:all <none> 0.0.12+nmu1
2020-05-02 05:20:21 status half-installed sensible-utils:all 0.0.12+nmu1
2020-05-02 05:20:21 status unpacked sensible-utils:all 0.0.12+nmu1
2020-05-02 05:20:21 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2020-05-02 05:20:21 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2020-05-02 05:20:21 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2020-05-02 05:20:22 install tar:amd64 <none> 1.30+dfsg-7
2020-05-02 05:20:22 status half-installed tar:amd64 1.30+dfsg-7
2020-05-02 05:20:22 status unpacked tar:amd64 1.30+dfsg-7
2020-05-02 05:20:22 install util-linux:amd64 <none> 2.34-0.1ubuntu9
2020-05-02 05:20:22 status half-installed util-linux:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:22 status unpacked util-linux:amd64 2.34-0.1ubuntu9
2020-05-02 05:20:22 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu1
2020-05-02 05:20:22 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2020-05-02 05:20:22 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu1
2020-05-02 05:20:22 install libgcc1:amd64 <none> 1:10-20200411-0ubuntu1
2020-05-02 05:20:22 status half-installed libgcc1:amd64 1:10-20200411-0ubuntu1
2020-05-02 05:20:22 status unpacked libgcc1:amd64 1:10-20200411-0ubuntu1
2020-05-02 05:20:22 startup packages configure
2020-05-02 05:20:22 configure lsb-base:all 11.1.0ubuntu2 <none>
2020-05-02 05:20:22 status unpacked lsb-base:all 11.1.0ubuntu2
2020-05-02 05:20:22 status half-configured lsb-base:all 11.1.0ubuntu2
2020-05-02 05:20:22 status installed lsb-base:all 11.1.0ubuntu2
2020-05-02 05:20:22 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2020-05-02 05:20:22 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-02 05:20:22 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-02 05:20:22 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2020-05-02 05:20:22 configure libsemanage-common:all 3.0-1build2 <none>
2020-05-02 05:20:22 status unpacked libsemanage-common:all 3.0-1build2
2020-05-02 05:20:22 status half-configured libsemanage-common:all 3.0-1build2
2020-05-02 05:20:22 status installed libsemanage-common:all 3.0-1build2
2020-05-02 05:20:22 configure gcc-10-base:amd64 10-20200411-0ubuntu1 <none>
2020-05-02 05:20:22 status unpacked gcc-10-base:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:22 status half-configured gcc-10-base:amd64 10-20200411-0ubuntu1
2020-05-02 05:20:22 status installed gcc-10-base:amd64 10-20200411-0ubuntu1
